id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
1,"Belajar Cara Praktis Pembukuan Bisnis, Ikuti Workshop 2 Jam Jago Accurate Online",,Pendidikan,belajar praktis pembukuan bisnis ikuti workshop jam jago accurate online,belajar praktis pembukuan bisnis ikuti workshop jam jago accurate online,belajar praktis pembukuan bisnis ikuti workshop jam jago accurate online,ajar praktis buku bisnis ikut workshop jam jago accurate online,"['ajar', 'praktis', 'buku', 'bisnis', 'ikut', 'workshop', 'jam', 'jago', 'accurate', 'online']"
2,Infografis: Pro dan Kontra SPMB Perdana,,Pendidikan,infografis pro kontra spmb perdana,infografis pro kontra spmb perdana,infografis pro kontra spmb perdana,infografis pro kontra spmb perdana,"['infografis', 'pro', 'kontra', 'spmb', 'perdana']"
3,Ilmuwan UI Soroti Tak Banyak Peneliti yang Studi tentang Layanan Disabilitas,,Pendidikan,ilmuwan ui soroti peneliti studi layanan disabilitas,ilmuwan ui soroti peneliti studi layanan disabilitas,ilmuwan ui soroti peneliti studi layanan disabilitas,ilmuwan ui sorot teliti studi layan disabilitas,"['ilmuwan', 'ui', 'sorot', 'teliti', 'studi', 'layan', 'disabilitas']"
4,"10 Twibbon Hari Batik Nasional 2025, Gratis dan Mudah Dipakai",,Pendidikan,twibbon batik nasional gratis mudah dipakai,twibbon batik nasional gratis mudah dipakai,twibbon batik nasional gratis mudah dipakai,twibbon batik nasional gratis mudah pakai,"['twibbon', 'batik', 'nasional', 'gratis', 'mudah', 'pakai']"
5,"P2G: Bisa Beri Insentif untuk Guru PJ MBG, Kenapa Pemerintah Sulit Menggaji Honorer?",,Pendidikan,insentif guru pj mbg pemerintah sulit menggaji honorer,insentif guru pj mbg pemerintah sulit menggaji honorer,insentif guru pj mbg pemerintah sulit menggaji honorer,insentif guru pj mbg perintah sulit gaji honorer,"['insentif', 'guru', 'pj', 'mbg', 'perintah', 'sulit', 'gaji', 'honorer']"
6,"Potret Festival Pengabdian Masyarakat UI 2025, Dihadiri Dubes Palestina",,Pendidikan,potret festival pengabdian masyarakat ui dihadiri dubes palestina,potret festival pengabdian masyarakat ui dihadiri dubes palestina,potret festival pengabdian masyarakat ui dihadiri dubes palestina,potret festival abdi masyarakat ui hadir dubes palestina,"['potret', 'festival', 'abdi', 'masyarakat', 'ui', 'hadir', 'dubes', 'palestina']"
7,"Bersiap, Beasiswa Patriot Kementrans Bakal Buka Pendaftaran ke Universitas Jepang",,Pendidikan,beasiswa patriot kementrans buka pendaftaran universitas jepang,beasiswa patriot kementrans buka pendaftaran universitas jepang,beasiswa patriot kementrans buka pendaftaran universitas jepang,beasiswa patriot trans buka daftar universitas jepang,"['beasiswa', 'patriot', 'trans', 'buka', 'daftar', 'universitas', 'jepang']"
8,"Guru Dijadikan Penanggung Jawab MBG, P2G: Patut Diduga BGN Coba Lepas Tangan",,Pendidikan,guru dijadikan penanggung mbg patut diduga bgn coba lepas tangan,guru dijadikan penanggung mbg patut diduga bgn coba lepas tangan,guru dijadikan penanggung mbg patut diduga bgn coba lepas tangan,guru jadi tanggung mbg patut duga bgn coba lepas tangan,"['guru', 'jadi', 'tanggung', 'mbg', 'patut', 'duga', 'bgn', 'coba', 'lepas', 'tangan']"
9,"96% Warga Palestina Berpendidikan, Dubes: Otak Jadi Senjata untuk Kalahkan Israel",,Pendidikan,warga palestina berpendidikan dubes otak senjata kalahkan israel,warga palestina berpendidikan dubes otak senjata kalahkan israel,warga palestina berpendidikan dubes otak senjata kalahkan israel,warga palestina didik dubes otak senjata kalah israel,"['warga', 'palestina', 'didik', 'dubes', 'otak', 'senjata', 'kalah', 'israel']"
10,"Sebagian Soal TKA SD-SMP Disusun Pemda, Kemendikdasmen: Konteks Lokal",,Pendidikan,tka disusun pemda kemendikdasmen konteks lokal,tka disusun pemda kemendikdasmen konteks lokal,tka disusun pemda kemendikdasmen konteks lokal,tka susun pemda kemendikdasmen konteks lokal,"['tka', 'susun', 'pemda', 'kemendikdasmen', 'konteks', 'lokal']"
